Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
10118193-0001LF	FCI	DK	609-4616-1-ND	Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal	*
PTS525SM15SMTR2 LFS	C&K Components	DK	CKN9104CT-ND	SWITCH TACTILE SPST-NO 0.05A 12V	*
20021111-00010T4LF	FCI	DK	609-3712-ND	CONN HEADER 10POS UNSHD VERT T/H	*
TL3302BF180QG/TR	E-Switch	DK	EG2529CT-ND	SWITCH TACTILE SPST-NO 0.05A 12V	*
PCA9552BS	NXP Semiconductors	DK	568-3389-1-ND	IC LED Driver Linear I2C Dimming 25mA 24-HVQFN (4x4)	HVQFN24
M20PTH	4UCON	SF	PRT-09749	2-pin JST	M20PTH
TEST POINT	TEST POINT	(N/A)	TEST POINT	TEST POINT	*
MPU-9250	InvenSense	DK	1428-1019-1-ND	GYRO/ACCEL/COMPASS/9-AXIS	QFN24_3x3mm
25Q40	WinBond Electronics	DK	W25Q40BWSNIG-ND	IC FLASH 4MBIT 80MHZ 8SOIC	SOIC-8
ESP8266EX	Expressif	AB	ESP8266EX	B/G/N Wi-Fi	QFN32_5x5mm
ABS06-32.768KHZ-T	Abracon LLC	DK	535-10104-1-ND	Crystal 32.7680kHz 20ppm 12.5pF 90 kOhm -40°C - 85°C Surface Mount 2-SMD	2-SMD
ASCO-8.000MHZ-EK-T3	Abracon LLC	DK	535-12077-1-ND	OSC XO 8.000MHZ CMOS SMD	4-SMD
C1608X7S0J106M080AC	TDK Corporation	DK	445-9104-1-ND	CAP CER 10UF 6.3V 20% X7S 0603	603
C1005X7R1C104K050BC	TDK Corporation	DK	445-4952-1-ND	CAP CER 0.1UF 16V 10% X7R 0402	402
C3225X7R1A226K230AC	TDK Corporation	DK	445-6863-1-ND	CAP CER 22UF 10V 10% X7R 1210	1210
C1005X7R1H333K050BB	TDK Corporation	DK	445-7334-1-ND	CAP CER 0.033UF 50V 10% X7R 0402	402
C1005C0G1H1R5B050BA	TDK Corporation	DK	445-4858-1-ND	CAP CER 1.5PF 50V C0G 0402	402
C1005C0G1H150J050BA	TDK Corporation	DK	445-1237-1-ND	CAP CER 15PF 50V 5% C0G 0402	402
C1005X7R1H222K050BA	TDK Corporation	DK	445-1257-1-ND	CAP CER 2200PF 50V 10% X7R 0402	402
C1005C0G1H220J050BA	TDK Corporation	DK	445-1239-1-ND	CAP CER 22PF 50V 5% C0G 0402	402
C1005C0G1H010B050BA	TDK Corporation	DK	445-4854-1-ND	CAP CER 1PF 50V C0G 0402	402
CGA2B2C0G1H4R7C050BA	TDK Corporation	DK	445-5577-1-ND	CAP CER 4.7PF 50V C0G 0402	402
GRM1555C1H5R6CA01D	Murata Electronics North America	DK	490-6250-1-ND	CAP CER 5.6PF 50V NP0 0402	402
5-1879213-0	TE Connectivity AMP Connectors	DK	A103000CT-ND        	RES SMD 86.6 OHM 0.1% 1/16W 0402	402
CRCW040212K0FKED	Vishay Dale	DK	541-12.0KLCT-ND	RES SMD 12K OHM 1% 1/16W 0402	402
CRCW0402200RFKED	Vishay Dale	DK	541-200LCT-ND	RES SMD 200 OHM 1% 1/16W 0402	402
CRCW040210K0FKED	Vishay Dale	DK	541-10.0KLCT-ND	RES SMD 10K OHM 1% 1/16W 0402	402
CRCW040222K0FKED	Vishay Dale	DK	541-22.0KLCT-ND	RES SMD 22K OHM 1% 1/16W 0402	402
CRCW04021M00FKED	Vishay Dale	DK	541-1.00MLCT-ND	RES SMD 1M OHM 1% 1/16W 0402	402
CRCW04022M00FKED	Vishay Dale	DK	541-2.00MLCT-ND	RES SMD 2M OHM 1% 1/16W 0402	402
CRCW04021M20FKED	Vishay Dale	DK	541-1.20MLCT-ND	RES SMD 1.2M OHM 1% 1/16W 0402	402
CRCW0402470RFKED	Vishay Dale	DK	541-470LCT-ND	RES SMD 470 OHM 1% 1/16W 0402	402
CRCW0402220KFKED	Vishay Dale	DK	541-220KLCT-ND	RES SMD 220K OHM 1% 1/16W 0402	402
